"id","nome","grupo","composto","academia","tecnica_padrao","fonte","tipo_link_atual","link_atual","link_correto","ok"
"panturrilha-sentado","Panturrilha Sentado","panturrilha","nao","moderna","rest-pause","MusclePUMP Panturrilha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=panturrilha%20sentado%20s%C3%B3leo","",""
"panturrilha-leg-press","Panturrilha no Leg Press","panturrilha","nao","moderna","drop-set","Treino Panturrilha Diamante .md","busca","https://www.youtube.com/@laerciorefundini/search?query=panturrilha%20leg%20press","",""
"panturrilha-unilateral","Panturrilha Unilateral com Halter","panturrilha","nao","ambos","parciais","Treino Panturrilha Diamante .md","busca","https://www.youtube.com/@laerciorefundini/search?query=panturrilha%20unilateral%20halter","",""
"prancha","Prancha Isométrica","core","sim","ambos","isometria","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=prancha%20isom%C3%A9trica%20abd%C3%B4men","",""
"abdominal-supra","Abdominal Supra","core","nao","ambos","rest-pause","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=abdominal%20supra%20crunch","",""
"abdominal-infra","Elevação de Quadril","core","nao","ambos","rest-pause","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20quadril%20abd%C3%B4men%20infra","",""
"abdominal-cabo","Abdominal no Cabo","core","nao","moderna","drop-set","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=abdominal%20cabo%20polia%20alta","",""
"elevacao-pernas-barra","Elevação de Pernas na Barra","core","nao","ambos","excentrica-lenta","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20pernas%20barra%20suspensa","",""
"russian-twist-halter","Russian Twist com Halter","core","nao","ambos","rest-pause","Treino Abdomem Empedrado.md","busca","https://www.youtube.com/@laerciorefundini/search?query=russian%20twist%20halter%20abd%C3%B4men%20obl%C3%ADquo","",""
"rosca-punho-halter","Rosca de Punho com Halter","antebraco","nao","ambos","rest-pause","Treino Antebraço Marreta.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20punho%20halter%20antebra%C3%A7o","",""
"rosca-punho-inversa","Rosca de Punho Inversa","antebraco","nao","ambos","drop-set","Treino Antebraço Marreta.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20punho%20inversa%20antebra%C3%A7o","",""
"rosca-inversa-halter","Rosca Inversa com Halteres","antebraco","nao","ambos","excentrica-lenta","Treino Antebraço Marreta.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20inversa%20halter%20antebra%C3%A7o","",""
"farmer-walk","Farmer Walk (Caminhada Pesada)","antebraco","sim","ambos","isometria","Treino Antebraço Marreta.md","busca","https://www.youtube.com/@laerciorefundini/search?query=farmer%20walk%20caminhada%20antebra%C3%A7o%20grip","",""
"encolhimento-halter","Encolhimento com Halteres","trapezio","nao","ambos","isometria","Treino Trapézio na Orelha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=encolhimento%20halteres%20trap%C3%A9zio","",""
"encolhimento-barra-trapezio","Encolhimento com Barra","trapezio","nao","raiz","rest-pause","Treino Trapézio na Orelha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=encolhimento%20barra%20trap%C3%A9zio","",""
"remada-alta-trapezio","Remada Alta para Trapézio","trapezio","sim","ambos","drop-set","Treino Trapézio na Orelha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20alta%20trap%C3%A9zio%20halteres","",""
"encolhimento-cabo","Encolhimento no Cabo","trapezio","nao","moderna","parciais","Treino Trapézio na Orelha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=encolhimento%20cabo%20trap%C3%A9zio","",""
